sentence_id	sentence	locale	reason
0621e48c386a4920d6bcaaae733418bdb2a7cbfd663ef3214d1cde67bdcd4094	آج ہم اپنے انجام کو بھولہ کر خلف اور پریش سے دوچ ہیں	ur	grammar-or-spelling
07b6f875efeefb6f30bdb52b3c7a6965f8f535aecc4125cc239cffc67f7c2cc5	اس نے میری چھاتی کو ہاتھ لگایا اور اسی حالت میں تصویر لی	ur	offensive-language
08b832b90872e9b564f373a46b23167f4f3705a3ec7d4f5c2fa2e47cf5311156	جبکہ میر تجزیہ کے	ur	grammar-or-spelling
07ce205f4b90d48b31e7ac39335e0eaff28a7e17f8d548158c6f152123717add	انسانیت پر بھارتی ظلم سے لطف اندوز ہورہی ہے	ur	grammar-or-spelling
0972a3c4fb42f85c836d2ebd3c3a779d078d253a7ee7a65aca3cf4feada7c4d1	وہ آج بھی اپنی بچپن کی یادیں تازہ کرتا ہے۔	ur	grammar-or-spelling
083b2848e412c46579a4899f25659890a4e828f2d6c2103e14f89a2d88f6f190	۔جرمنی میں گاڑی کا لائسنس حاصل کرنا بہت مشکل کام ہے۔یہ لائسنس وہاں کی ٹریف	ur	grammar-or-spelling
0615f5a5f9623c833e70a57608f1cf558a6bf3df3ecc385cbbe232d71533f513	کانز فلم فیسٹیول کی جگہ بے گھر افراد کے عارضی مسکن میں تبدیل	ur	grammar-or-spelling
08c3d3d93c7b9f98bd684b6e585b4da78f81890fdf478392b7b7a00af3f7cfa8	سیرین ایئرلائن کی اندرون ملک پروازیں شروع	ur	grammar-or-spelling
06f84a69ee5f6c953695ae71120fb753a29d3a432ed3eabec42a9c672bf75d51	صفائی کا تردّد اس پہ زیادہ نہ دکھائی دیتا تھا۔	ur	grammar-or-spelling
0752228390b1cf524748a79d7beafb22cc5495bb87256514637b811bee86b208	فرنس ائل کی درامد پر پابندی کا امکان	ur	grammar-or-spelling
08188241c7fd4972cd5d0f5015f4c2d757c16b62bfdd158b14f2ebe70ad73ac0	کترینہ کی چھوٹی بہن کا ڈانس فلم سے کیریئر کا اغاز	ur	grammar-or-spelling
07def385e1f03decb9d8d9cce2fc69eae7f346b7ae3fd3350431a8ccb10f22c5	میں جلدی داپس آجاؤنگا ۔	ur	grammar-or-spelling
0868d4e7d0fb9275432f5869db12b9af9c224fde45676f66753f0bfb587e092c	اٹلانٹا جارجیا سکاٹسیل ایریزونا	ur	grammar-or-spelling
08bec5f96a4b288833dca403c111fc95f4f1ff29045915084701bf4f7111f0a2	تو اس کو ہتھکڑی لگانے کے سماجی مضمرات کیا ہوتے ہیں۔	ur	grammar-or-spelling
06868373d10eb37acd08a3099245e2df25df42d96385efe4ceeb11b76eb5c7fb	ارطغرل غازی نے بیمار پاکستانی بچوں کا خواب پورا کردیا	ur	INCORRECT FACT
085298550b429e7fbed7dbbb34c8431e80cb36a794120bc176749db2af06d8f9	
آپ کے والد کیا کام کرتے ہے؟	ur	grammar-or-spelling
04375e5b39e72ccb7af388bc40b4bd98596bf192d8c3d798732884c49a7a88bf	محبوب کے عارض و گیسو،	ur	grammar-or-spelling
06a4c93e13fe47a8cdca81cc7b10929cad2e108008f6353b28051fcc9179a7b2	کورونا کے باعث گولڈن گلوب ایوارڈز بھی ماہ تک مخر	ur	grammar-or-spelling
07cd00825f3ef690c2706280607583d4b396c8b90eca8b4a4df266d97a154521	دوں تم اس پر	ur	grammar-or-spelling
06f2ffda92e56a4f48478464ef1f8bfe5131da23cb5251fff53ce4b8f4ebf826	سلیمان بن سرد رض کے ہیں اسی طرح کوفہ سے	ur	grammar-or-spelling
07880b7f07a8a51d5157c6f4623876670fe8d1538f011e16228ba124776d8094	بنگلہ دیش لاک ڈان کے دوران اجرت کیلئے مزدوروں کا احتجاج	ur	grammar-or-spelling
08ddb69b3a7b6eb24b3d87657b6ee0a190a90ad28357851e7769a21e963029ec	کسی درسگاہ میں خوارزمی کی کتابیں کتابچے اور باب ڈگری پر فوقیت رکھتے ہیں	ur	grammar-or-spelling
0971331a7cc0e745c9d62cc864aaddd1d0770d75494cad4a5df64ec7237de3ae	بھارتی کرکٹ بورڈ اپنی میزبانی میں پاکستان کیساتھ سیریز کھیلنے پر مادہ	ur	grammar-or-spelling
06f23131aa098991e7127f11a707e3ebaf708791081db34c563a2137a7fc4850	نہیں جاں گا جمائما کا ڈونلڈ ٹرمپ پر مزاحیہ تبصرہ	ur	grammar-or-spelling
0904ed8ef0f5c863c2ddaf61d1e567cdb8b2aa27b7610aaba925a7e5011121aa	مظفراباد کشمیر یکجہتی جلسہ میں اداکاروں اور شاہد افریدی کا خطاب	ur	grammar-or-spelling
091b0490f3d08f9eff0b29a642200c9bdb1ad36c209e10d91dead9c08137cd4f	جو مسالوں کی تجارت کے لیے مشہور تھا	ur	grammar-or-spelling
08d4bfc4ba9b9a7f57efd30c2d9420356c53e5009a16a9bd0d31fa2f5c8ec8d2	پھر ان کے عوض قرض لئے گئے اوررقوم باہر منتقل ہوئیں۔	ur	grammar-or-spelling
08c31b6cf5ca078f138f2d1ce2be1c4b60cc6d618a3e3854b7157f75eab38044	ایشیا میں رواں سال اقتصادی ترقی کی شرح صفر رہے گی ئی ایم ایف	ur	grammar-or-spelling
08b832b90872e9b564f373a46b23167f4f3705a3ec7d4f5c2fa2e47cf5311156	جبکہ میر تجزیہ کے	ur	grammar-or-spelling
0684eb310fc5955ed34941ae5ec72f048f3d9ea226c28bb8b7d84ae9093c8e9f	وہ اپنی کامیابی کو اپنے اہداف کی طرف قدم بڑھاتے ہیں۔	ur	grammar-or-spelling
089f757dbfc3eae839ef2540973ef26ed3e3b34929aa33c6c58260c9902f2ec8	یو ایس ایڈ پاکستانی ام برامد کنندگان کی مدد کررہا ہے ڈاکٹر یوسف ظفر	ur	grammar-or-spelling
078fb53607c91b995b88e9d41e65bae1c749bf740ecdc05cc00177c6a37c98de	بھارتی اداکار فتاب شیوداسانی کورونا وائرس سے صحتیاب	ur	grammar-or-spelling
076be40969c61027d3572de7d243ac3dee868f7ccc684ae9e706666a0f58efc3	کل ہمیں اک انگریزی میل خت ملایا۔‌	ur	grammar-or-spelling
0618a8b37ed2b99991224195a51a977605dfb68c33f91e689640feb9fb3e7758	ایسا سود جس میں کسی کا استحصال ہوا	ur	grammar-or-spelling
07b6f875efeefb6f30bdb52b3c7a6965f8f535aecc4125cc239cffc67f7c2cc5	اس نے میری چھاتی کو ہاتھ لگایا اور اسی حالت میں تصویر لی	ur	offensive-language
0621e48c386a4920d6bcaaae733418bdb2a7cbfd663ef3214d1cde67bdcd4094	آج ہم اپنے انجام کو بھولہ کر خلف اور پریش سے دوچ ہیں	ur	grammar-or-spelling
08e57e5b13592c040ef09c79840e3e922e5a65c43d1dfff70226a391b8feeac6	مردوں کو لڑکی کے ریپ کی دعوت دینے والی خاتون کی ویڈیو وائرل	ur	offensive-language
05e16f500105bc38bb6670f5ca300c51982c86d48ea692bb21f5598081761abc	میں جانتا ہیںں کہ آپ کیں کافی پسند تھیں وہاں	ur	grammar-or-spelling
04bdcbb0bdee4e90ab20811e3f90eb7c6536bf693b7919e8c271d1dfffb907d7	ملزم مشيات کا عادی بھی بتايا جا رہا ہے	ur	grammar-or-spelling
0b47f4e2f9547379b7d855120c2b5499d0eaa46228bb40d707e9ecd7166c5b66	اب کل امریکہ نے باقاعدہ باغیوں کی اعانت اور سپوٹ کا اعلان کردیا ہے ۔	ur	grammar-or-spelling
0a6e0fe620f2b6b407f7d081e7ff84b33a9114dafba1c9a24a5393b798de9a17	گرین شرٹس نے ون ڈے سیریز میں بھی فاتحانہ غاز کر دیا	ur	grammar-or-spelling
087d7e6e19344d3aaf9585e34a18110f25bf2422e2daca176a907c092c7be52f	تم کیا کرتیں ہیں ؟	ur	grammar-or-spelling
0a3b6ae72a4e7329d3916132bcc294963d8030f3ff44114897aea6917986f403	استدعا یہ نہیں کہ نیا پاکستان بنائیں۔	ur	grammar-or-spelling
0b675f2a9a39a20e2b5af108765c87b49b79d7b5579fcfef408974d54f32dff8	فیصلہ یہ کیا گیا کہہ صرف دو ڈے میٹھ بن ج گے	ur	grammar-or-spelling
0b675f2a9a39a20e2b5af108765c87b49b79d7b5579fcfef408974d54f32dff8	فیصلہ یہ کیا گیا کہہ صرف دو ڈے میٹھ بن ج گے	ur	grammar-or-spelling
0c17812c1a51e8b006dc7de05922ff32c47d3ff50785f57da3c5608c8d28f29c	جب امریکی میزبان نشریات کے دوران جو بائیڈن کی فتح پر بدیدہ ہوگئے	ur	grammar-or-spelling
024499ae621c62dc24531a6db4e281a945dc73af3d9c39104635bbfda7a7894f	Kiray K Ghar Thay Badalty Rahay	ur	different-language
096f3127ef8eb1d11896091b84cc9281bebd060374699de5afa6ac074373944c	آرلنگٹن ٹیکساس ویسٹسٹر میساچیٹس	ur	difficult-pronounce
0b13360956dae148a2d968f5c115a42264ad4b6fb679186046d1a30a5c2dc1e7	وینا ملک کا بیٹا سوشل میڈیا پر مقبولیت میں شلپا شیٹھی کے بیٹے سے آگے	ur	Vulger actresses were quoted
0b7d5e145d20ccd091d2f85285db9529908403b3efdb0b1d41771601b78ffe0f	یاریاست کی کمزوری کی دونوں کا مداواکیا جا سکتا ہے۔	ur	grammar-or-spelling
0d47dbb30fa209c85e9d733547f508cd46a6868b98f7a20a6c910da1769431e0	خطاب کے دوران کہا کہ روز سے صنعتی علاقوں میں میںسےگھنٹے کی لوڈشیڈنگ	ur	grammar-or-spelling
0b675f2a9a39a20e2b5af108765c87b49b79d7b5579fcfef408974d54f32dff8	فیصلہ یہ کیا گیا کہہ صرف دو ڈے میٹھ بن ج گے	ur	grammar-or-spelling
0cdba901bddb4220fc2b8212aa9589b984e2b248852796264e9eb1f6e3e90eba	وہی جو ابراہیمؑ کا خدا ہے جو مارتا ہے اور جلاتا ہے۔	ur	offensive-language
0ed92ec078ad7683ed7a0a232eaa73ef28395c2b0eef6c175b69e983edf22c6f	یک ایسی جو گرویدہ کر رہی ہے	ur	grammar-or-spelling
530eec316da29af994030adb6055999eaa84d6951b3fa16d64e73bef01a37c9d	buht achi bat kahi he	ur	different-language
30822c950975112e7effdea4f22fe75a4bce57bb396bddb101026df2dde0611c	یے بدشاہ ہے	ur	grammar-or-spelling
56d9a662ae9209ecf787761be9af3289fb100c154b1569b82b38535b79932a3d	قت بے وقت اسے مشتعل کر دینا کسی کے لیے ممکن نہیں رہتا	ur	grammar-or-spelling
530eec316da29af994030adb6055999eaa84d6951b3fa16d64e73bef01a37c9d	buht achi bat kahi he	ur	different-language
0efea3e5db56a3a4b6518067dd6536593cf65d20f0920aba3574e2cccd935d7e	مانی سے شادی کرنے کیلئے سابق منگیتر کو ماہ تک دھوکہ دیا	ur	grammar-or-spelling
0d17b3cda5ec7ea7c615c8ad84a6cd37b087131b71492b4f56fbdb0d02e00834	کراچیمقامی کاٹن مارکیٹ میں گزشتہ ہفتے کے دوران مجموعی طور پر استحکام رہا	ur	grammar-or-spelling
11628f7f2f66ed7893e9e4f74ad3d7480da781c1949a3425f90e2b3b94578ea9	لازم ہے کہ میری جانشین خاتون پرکشش ہو دلائی لامہ	ur	difficult-pronounce
10c290921af890579f842db1001f081ca358d12b27419b58d012259e43197059	غیر قانونی اسلحہ کیس : عدالت میں سلمان خان نے کہا : میں معصوم ہوں ، مجھے جھوٹا پھنسایا گیا	ur	difficult-pronounce
1182196e82d49b7dd7c6a6bf4f71747f1aa6c954dc6aef160a8d22cdeddeeb71	گے جن کا نواز شریف سے مختلف وجوہات کی بناء پہ بغض ہو گا۔	ur	difficult-pronounce
13029545216af365ef874e1471c1b8383ecfd245e4edef78047bc7de807774c7	ہائیکورٹ کے حکم امتناعی کو سپریم کورٹ	ur	difficult-pronounce
11c02e4fe74d3b1781e7b58f5d89bfda3763d590b528bd2d18a95bff1b9bcfc7	خواتین کی فحش ویڈیوز بناکر سوشل میڈیا پرشیئر کرنے والا گلوکار گرفتار	ur	offensive-language
11dbef057eb20b03acbebdad96adce06c85e3a8c34eff8485370f7becae9996f	کوئلے کی قیمت میں اضافہ حکومت درمدی ڈیوٹی ختم کرے	ur	grammar-or-spelling
110396e124092a43039317d50e1e3bc77b75f190bd893f36d44d08fe36c5d173	۔کیا اس نے تمہار تنخواہ دیدی؟	ur	grammar-or-spelling
13b78061fe37a8af9811f2d199b9811b337c2de9fddc93b8c527fdaceed1a665	بابُر نے مغلیہ سلطنت کی تشکیل کی	ur	grammar-or-spelling
13324ed727323f8ca91211f9267193edd3f7348b0f9fd5fea78d9122809c544b	یہ کہانی دوسرے سے زیادو مزیدار ہے	ur	grammar-or-spelling
15b51ffcca64bc39019fa00379794cb766a0397db04f41cdb4a330152698a22f	سندھ میں ام کی پیداوار میں کمی کا امکان	ur	grammar-or-spelling
148eae4f22153f2a376dc675dcf3f9c7e8f5f3e2fe3ff940f5f428fae02ecc05	ابراہیمووچ نے ریٹائرمنٹ واپس لینے کا عندیہ دیدیا	ur	grammar-or-spelling
14bc9d0102c559c1c232236037b9b96d7722d962685cf3e29faca5fe9311be34	شورش پیدا ہو جائے تو اس سے کیسے معا ملہ کیا جاتا تھا؟	ur	grammar-or-spelling
01547ac6fd6ac037988f18d61bd4ab1f37ffdec5a50a532d020df2769bc7bedb	اسلام آبادنیو زڈیسکچینی سائنسدانوں نے چاند اور مٹی جیسے قابلِ تحلیل رینیوایبل ذرائع سے بننے والی توانائی	ur	grammar-or-spelling
15bf9894c857fa31687e9f22488dae4e892c23aaa71f603cd027018112609850	ائی سی سی ون ڈے ٹیم رینکنگاسٹریلیا بدستورسرفہرست	ur	grammar-or-spelling
15bba629e56661d678f71f123442f05f7c10254280caf9c739c00aa16dce5517	دلیپ کمار کی پشاور میں واقع بائی گھر کی تصاویر شیئر کرنے کی درخواست	ur	grammar-or-spelling
1492833a3051186acabdeb3ab03ce48c092c2af1110d637b5668c076abd19d53	کوئی سوال ھے جس کو جواب مِلتا نیں	ur	grammar-or-spelling
16ba65826a0a40c58a6953d4eadb5e8745fa75459baff190e846f6b9cc48edba	اللہ یار اینڈ دی لیجنڈ اف مارخور نیٹ فلیکس پر ریلیز	ur	difficult-pronounce
16a90d172f435e67519a9a53f7236b021b8e31ba654dd21f323bf4dec3bb232b	بگ تھری پوزیشن پیپر کے خلاف چار کرکٹ بورڈز متحد ہیںذکا اشرف	ur	grammar-or-spelling
17961591d4a2484fc66dcafc0a3459e58ff4198471d3fed026fbe9bf377c6c0f	پچاسویں حاشیے کی لینتھ تیسرے حاشیے سے غیر شعوری مماثل ہے	ur	difficult-pronounce
150dcda3f294dea7b42879b274634475290df531b5781b21e4509bc3b657d132	کہ واقعہ میں ملوث ریسکیو ڈبل ون ڈبل ٹو اور موقع پر موجود پولیس اہلکاروں کے خلاف بھی قتل کا مقدمہ درج کیا جائے	ur	difficult-pronounce
18833f1db49b8c3b916c125283b7390ff77b909631aaadb25dee7d612d35c4db	لڑکے کا ریپ کرنے پر کیون اسپیسی پر سال قید کی تلوار لٹکنے لگی	ur	difficult-pronounce
16c31de934cfd188c2aa6eadb59f3a0ccd8bd2870ee64f9f4d4af44f45690264	جوں جوں ویب اپنانا سفر طے کرنا رہنا ہونا ہَر چیز میں جدت آنا جارہی ہونا	ur	grammar-or-spelling
1663b6a343491d4add61a4a0d1716c5c854874979d0975d2841ec1a9b68603ff	سنجے دت کی ماں بننے پرمنیشا کوئرالا خوش	ur	difficult-pronounce
15dd03418181f181f424d3ac2aaddd12b1142935f1d9fb5237d61b262cc5e53c	ہوگئے لیکن فیصلہ کن برتری خلیفتہ المسلمین کو مل گئ	ur	difficult-pronounce
144899cb870221308aa7913bb2e4553b65c519198fe41887d9e707f2b7e2ecd1	خوش دعوت یاراں بھی ہے یلغار عدو بھی	ur	difficult-pronounce
174eef10db565f7ce8a457a47bfdb53fe1d57427439e83a5c0205106ff304ff7	روٹی ہم نے سے پہل خرید لیں تھیں اور راستہ سےانڈ بھی ل تھے	ur	grammar-or-spelling
1595457dd69c3106dcefd85a80a0991ceb5f2d2a54dc89aeb4d06f305a5a9635	دوسری طرف بطور استعمار، امریکہ کے توسیعی عزائم ہیں۔	ur	difficult-pronounce
